id,date,tlt,ud,pmt,wp,a,p,q,oee,rate,wf,uf,rework,give,line,unit,std,chk,Remark,waste_film_remark,waste_pellet_remark
35950,2023-05-21,9.25,0,7960,0.225,100,71.71,99.89,71.63,21.51,1.1,791,0,25.115,A,PP3,30,1,"Bagging A	เครื่อง Bagging มีปัญหา Sucker ดูดปากถุงไม่ได้แต่เครื่องปล่อยเม็ดทิ้ง		
	ปรับเครื่อง Rate bag out  20 MT./Hr",,
35951,2023-05-21,9.17,0,10126,0,100,92.02,100,92.02,27.61,1.3,1098,0,25.114,B,PP3,30,1,,,
35952,2023-05-21,7.75,0,6120,0,100,65.81,100,65.81,19.74,0.6,505,0,25.116,C,PPE,30,1,"Stretch hood C 	00.10-03.00  Alram photocell occupied without anthorisation during TR  Reset ให้หาย Alram ไม่ได้			
	หาสาเหตุแก้ไขโดยการ Off main power  เครื่องจึงสามารถ Reset Alram ให้หายได้",,
35953,2023-05-21,7.67,1,6120,0,86.96,76.46,100,66.49,22.94,0.9,582,0,25.116,D,PPE,30,1,22.00-23.00 แก้ไขlnkjetเนื่องจากพ่นแตก / ทำการล้างหัวแล้วTestใช้งานได้ปกติ.,,
35954,2023-05-22,9.83,0,10415,0,100,88.29,100,88.29,26.49,1.3,1026,0,25.115,C,PP12,30,1,,,
35955,2023-05-22,1.75,0,2751,0,100,87.33,100,87.33,39.3,0.3,269,0,25.119,A,PP12,45,1,,,
35956,2023-05-22,12.33,0,10400,0.35,100,70.29,99.87,70.2,21.09,2.1,1029,0,25.115,A,PP3,30,1,เครื่อง Bagging มีปัญหา Sucker ดูดปากถุงไม่ได้แต่เครื่องปล่อยเม็ดทิ้ง,,
35957,2023-05-22,12.25,0,13638,0,100,92.78,100,92.78,27.83,1.22,1368,0,25.115,B,PP3,30,1,,,
35958,2023-05-22,10.03,0,10922,0,100,90.74,100,90.74,27.22,0.8,1073,0,25.115,C,PPE,30,1,,,
35959,2023-05-22,10.12,0,10863,0.002,100,89.45,100,89.45,26.84,0.6,1063,0,25.115,D,PPE,30,1,,,
35960,2023-05-23,6.42,0,6873,0,100,89.21,100,89.21,26.76,0.4,657,0,25.116,C,PP12,30,1,,,
35961,2023-05-23,5,0,8011,0,100,89.01,100,89.01,40.06,0.9,806,0,25.119,A,PP12,45,1,,,
